County,State,2010 Census,Population Estimate 2017
Hinsdale County, Colorado,843,794
Huerfano County, Colorado,6711,6662
Jackson County, Colorado,1394,1385
Jefferson County, Colorado,534543,574613
Kiowa County, Colorado,1398,1376
Kit Carson County, Colorado,8270,7158
Lake County, Colorado,7310,7778
La Plata County, Colorado,51334,55589
Larimer County, Colorado,299630,343976
Las Animas County, Colorado,15507,14238
Lincoln County, Colorado,5467,5546
Logan County, Colorado,22709,21896
Mesa County, Colorado,146723,151616
Mineral County, Colorado,712,766
Moffat County, Colorado,13795,13131
Montezuma County, Colorado,25535,26140
Montrose County, Colorado,41276,41784
Morgan County, Colorado,28159,28192
Otero County, Colorado,18831,18326
Ouray County, Colorado,4436,4794
Park County, Colorado,16206,17905
Phillips County, Colorado,4442,4292
Pitkin County, Colorado,17148,17890
Prowers County, Colorado,12551,12070
Pueblo County, Colorado,159063,166475
Rio Blanco County, Colorado,6666,6420
Rio Grande County, Colorado,11982,11301
Routt County, Colorado,23509,25220
Saguache County, Colorado,6108,6626
San Juan County, Colorado,699,715
San Miguel County, Colorado,7359,7967
Sedgwick County, Colorado,2379,2344
Summit County, Colorado,27994,30585
Teller County, Colorado,23350,24646
Washington County, Colorado,4814,4938
Weld County, Colorado,252825,304633
Yuma County, Colorado,10043,10075
Fairfield County, Connecticut,916829,949921
Hartford County, Connecticut,894014,895388
Litchfield County, Connecticut,189927,182177
Middlesex County, Connecticut,165676,163410
New Haven County, Connecticut,862477,860435
New London County, Connecticut,274055,269033
Tolland County, Connecticut,152691,151461
Windham County, Connecticut,118428,116359
Kent County, Delaware,162310,176824
New Castle County, Delaware,538479,559793
Sussex County, Delaware,197145,225322
District of Columbia, District of Columbia,601723,693972
Alachua County, Florida,247336,266944
Baker County, Florida,27115,28283
Bay County, Florida,168852,183563
Bradford County, Florida,28520,27038
Brevard County, Florida,543376,589162
Broward County, Florida,1748066,1935878
Calhoun County, Florida,14625,14483
Charlotte County, Florida,159978,182033
Citrus County, Florida,141236,145647
Clay County, Florida,190865,212230
Collier County, Florida,321520,372880
Columbia County, Florida,67531,69612
DeSoto County, Florida,34862,36862
Dixie County, Florida,16422,16673
Duval County, Florida,864263,937934
Escambia County, Florida,297619,313512
Flagler County, Florida,95696,110510
Franklin County, Florida,11549,11727
Gadsden County, Florida,46389,46071
Gilchrist County, Florida,16939,17743
Glades County, Florida,12884,13754
Gulf County, Florida,15863,16160
Hamilton County, Florida,14799,14184
Hardee County, Florida,27731,27411
Hendry County, Florida,39140,40347
Hernando County, Florida,172778,186553
Highlands County, Florida,98786,102883
Hillsborough County, Florida,1229226,1408566
Holmes County, Florida,19927,19558
Indian River County, Florida,138028,154383
Jackson County, Florida,49746,48330
Jefferson County, Florida,14761,14144
Lafayette County, Florida,8870,8451
Lake County, Florida,297052,346017
Lee County, Florida,618754,739224
Leon County, Florida,275487,290292
Levy County, Florida,40801,40355
Liberty County, Florida,8365,8242
Madison County, Florida,19224,18449
Manatee County, Florida,322833,385571
Marion County, Florida,331298,354353
Martin County, Florida,146318,159923
Miami-Dade County, Florida,2496435,2751796
Monroe County, Florida,73090,77013
Nassau County, Florida,73314,82721
Okaloosa County, Florida,180822,202970
Okeechobee County, Florida,39996,41605
Orange County, Florida,1145956,1348975
Osceola County, Florida,268685,352180
Palm Beach County, Florida,1320134,1471150
Pasco County, Florida,464697,525643
Pinellas County, Florida,916542,970637
Polk County, Florida,602095,686483
Putnam County, Florida,74364,73464
St. Johns County, Florida,190039,243812
St. Lucie County, Florida,277789,313506
Santa Rosa County, Florida,151372,174272
Sarasota County, Florida,379448,419119
Seminole County, Florida,422718,462659
Sumter County, Florida,93420,125165
Suwannee County, Florida,41551,44190
Taylor County, Florida,22570,21833
Union County, Florida,15535,15517
Volusia County, Florida,494593,538692
Wakulla County, Florida,30776,32120
Walton County, Florida,55043,68376
Washington County, Florida,24896,24567
Appling County, Georgia,18236,18521
Atkinson County, Georgia,8375,8342
Bacon County, Georgia,11096,11319
Baker County, Georgia,3451,3200
Baldwin County, Georgia,45720,44906
Banks County, Georgia,18395,18634
Barrow County, Georgia,69367,79061
Bartow County, Georgia,100157,105054
Ben Hill County, Georgia,17634,16996
Berrien County, Georgia,19286,19186
Bibb County, Georgia,155547,152862
Bleckley County, Georgia,13063,12830
Brantley County, Georgia,18411,18731
Brooks County, Georgia,16243,15587
Bryan County, Georgia,30233,37060
Bulloch County, Georgia,70217,76149
Burke County, Georgia,23316,22522
Butts County, Georgia,23655,24059
Calhoun County, Georgia,6694,6455
Camden County, Georgia,50513,53044
Candler County, Georgia,10998,10797
Carroll County, Georgia,110527,117812
Catoosa County, Georgia,63942,66550
Charlton County, Georgia,12171,12715
Chatham County, Georgia,265128,290501
Chattahoochee County, Georgia,11267,10343
Chattooga County, Georgia,26015,24770
Cherokee County, Georgia,214346,247573
Clarke County, Georgia,116714,127064
Clay County, Georgia,3183,2962
Clayton County, Georgia,259424,285153
Clinch County, Georgia,6798,6727
Cobb County, Georgia,688078,755754
Coffee County, Georgia,42356,43014
Colquitt County, Georgia,45498,45835
Columbia County, Georgia,124053,151579
Cook County, Georgia,17212,17277
Coweta County, Georgia,127317,143114
Crawford County, Georgia,12630,12295
Crisp County, Georgia,23439,22736
Dade County, Georgia,16633,16285
Dawson County, Georgia,22330,24379
Decatur County, Georgia,27842,26716
DeKalb County, Georgia,691893,753253
Dodge County, Georgia,21796,20730
Dooly County, Georgia,14918,13737
Dougherty County, Georgia,94565,89502
Douglas County, Georgia,132403,143882
Early County, Georgia,11008,10296
Echols County, Georgia,4034,3936
Effingham County, Georgia,52250,59982
Elbert County, Georgia,20166,19109
Emanuel County, Georgia,22598,22530
Evans County, Georgia,11000,10775
Fannin County, Georgia,23682,25322
Fayette County, Georgia,106567,112549
Floyd County, Georgia,96317,97613
Forsyth County, Georgia,175511,227967
Franklin County, Georgia,22084,22820
Fulton County, Georgia,920581,1041423
Gilmer County, Georgia,28292,30674
Glascock County, Georgia,3082,3062
Glynn County, Georgia,79626,85282
Gordon County, Georgia,55186,57089
Grady County, Georgia,25011,24819
Greene County, Georgia,15994,17281
Gwinnett County, Georgia,805321,920260
Habersham County, Georgia,43041,44567
Hall County, Georgia,179684,199335
Hancock County, Georgia,9429,8561
Haralson County, Georgia,28780,29256
Harris County, Georgia,32024,33915
Hart County, Georgia,25213,25794
Heard County, Georgia,11834,11730
Henry County, Georgia,203922,225813
Houston County, Georgia,139900,153479
Irwin County, Georgia,9538,9410
Jackson County, Georgia,60485,67519
Jasper County, Georgia,13900,13964
Jeff Davis County, Georgia,15068,15025
Jefferson County, Georgia,16930,15648
Jenkins County, Georgia,8340,8767
Johnson County, Georgia,9980,9788
Jones County, Georgia,28669,28470
Lamar County, Georgia,18317,18599
Lanier County, Georgia,10078,10425
Laurens County, Georgia,48434,47330
Lee County, Georgia,28298,29470
Liberty County, Georgia,63453,61386
Lincoln County, Georgia,7996,7880
Long County, Georgia,14464,19014
Lowndes County, Georgia,109233,115489
Lumpkin County, Georgia,29966,32873
McDuffie County, Georgia,21875,21498
McIntosh County, Georgia,14333,14106
Macon County, Georgia,14740,13314
Madison County, Georgia,28120,29302
Marion County, Georgia,8742,8450
Meriwether County, Georgia,21992,21049
Miller County, Georgia,6125,5838
Mitchell County, Georgia,23498,22292
Monroe County, Georgia,26424,27113
Montgomery County, Georgia,9123,9031
Morgan County, Georgia,17868,18412
Murray County, Georgia,39628,39782
Muscogee County, Georgia,189885,194058
Newton County, Georgia,99958,108078
Oconee County, Georgia,32808,38028
Oglethorpe County, Georgia,14899,14877
Paulding County, Georgia,142324,159445
Peach County, Georgia,27695,27099
Pickens County, Georgia,29431,31588
Pierce County, Georgia,18758,19307
Pike County, Georgia,17869,18217
Polk County, Georgia,41475,42085
Pulaski County, Georgia,12010,11201
Putnam County, Georgia,21218,21730
Quitman County, Georgia,2513,2358
Rabun County, Georgia,16276,16602
Randolph County, Georgia,7719,7075
Richmond County, Georgia,200549,201800
Rockdale County, Georgia,85215,90312
Schley County, Georgia,5010,5213
Screven County, Georgia,14593,13953
Seminole County, Georgia,8729,8292
Spalding County, Georgia,64073,65380
Stephens County, Georgia,26175,25890
Stewart County, Georgia,6058,5985
Sumter County, Georgia,32819,29847
Talbot County, Georgia,6865,6249
Taliaferro County, Georgia,1717,1628
Tattnall County, Georgia,25520,25334
Taylor County, Georgia,8906,8142
Telfair County, Georgia,16500,15989
Terrell County, Georgia,9315,8729
Thomas County, Georgia,44720,44779
Tift County, Georgia,40118,40598
Toombs County, Georgia,27223,26999
Towns County, Georgia,10471,11506
Treutlen County, Georgia,6885,6740
Troup County, Georgia,67044,69786
Turner County, Georgia,8930,7961
Twiggs County, Georgia,9023,8174
Union County, Georgia,21356,23459
Upson County, Georgia,27153,26135
Walker County, Georgia,68756,68939
Walton County, Georgia,83768,91600
Ware County, Georgia,36312,35871
Warren County, Georgia,5834,5303
Washington County, Georgia,21187,20313
Wayne County, Georgia,30099,29817
Webster County, Georgia,2799,2605
Wheeler County, Georgia,7421,7952
White County, Georgia,27144,29453
Whitfield County, Georgia,102599,104658
Wilcox County, Georgia,9255,8800
Wilkes County, Georgia,10593,9892
Wilkinson County, Georgia,9563,8959
Worth County, Georgia,21679,20533
Hawaii County, Hawaii,185079,200381
Honolulu County, Hawaii,953207,988650
Kalawao County, Hawaii,90,88
Kauai County, Hawaii,67091,72159
Maui County, Hawaii,154834,166260
Ada County, Idaho,392365,456849
Adams County, Idaho,3976,4147
Bannock County, Idaho,82839,85269
Bear Lake County, Idaho,5986,6028
Benewah County, Idaho,9285,9184
Bingham County, Idaho,45607,45927
Blaine County, Idaho,21376,22024
Boise County, Idaho,7028,7290
Bonner County, Idaho,40877,43560
Bonneville County, Idaho,104234,114595
Boundary County, Idaho,10972,11922
Butte County, Idaho,2891,2602
Camas County, Idaho,1117,1102
Canyon County, Idaho,188923,216699
Caribou County, Idaho,6963,7034
Cassia County, Idaho,22952,23664
Clark County, Idaho,982,873
Clearwater County, Idaho,8761,8546
Custer County, Idaho,4368,4172
Elmore County, Idaho,27038,26823
Franklin County, Idaho,12786,13564
Fremont County, Idaho,13242,13094
Gem County, Idaho,16719,17379
Gooding County, Idaho,15464,15124
Idaho County, Idaho,16267,16369
Jefferson County, Idaho,26140,28446
Jerome County, Idaho,22374,23627
Kootenai County, Idaho,138494,157637
Latah County, Idaho,37244,39333
Lemhi County, Idaho,7936,7875
Lewis County, Idaho,3821,3887
Lincoln County, Idaho,5208,5318
Madison County, Idaho,37536,39141
Minidoka County, Idaho,20069,20729
Nez Perce County, Idaho,39265,40385
Oneida County, Idaho,4286,4427
Owyhee County, Idaho,11526,11628
Payette County, Idaho,22623,23215
Power County, Idaho,7817,7600
Shoshone County, Idaho,12765,12542
Teton County, Idaho,10170,11381
Twin Falls County, Idaho,77230,85124
Valley County, Idaho,9862,10687
Washington County, Idaho,10198,10121
Adams County, Illinois,67103,66234
Alexander County, Illinois,8238,6315
Bond County, Illinois,17768,16948
Boone County, Illinois,54165,53513
Brown County, Illinois,6937,6716
Bureau County, Illinois,34978,33243
Calhoun County, Illinois,5089,4833
Carroll County, Illinois,15387,14518
Cass County, Illinois,13642,12505
Champaign County, Illinois,201081,209399
Christian County, Illinois,34800,33102
Clark County, Illinois,16335,15767
Clay County, Illinois,13815,13269
Clinton County, Illinois,37762,37614
Coles County, Illinois,53873,51979
Cook County, Illinois,5194675,5211263
Crawford County, Illinois,19817,18961
Cumberland County, Illinois,11048,10908
DeKalb County, Illinois,105160,104733
De Witt County, Illinois,16561,15942
Douglas County, Illinois,19980,19748
DuPage County, Illinois,916924,930128
Edgar County, Illinois,18576,17328
Edwards County, Illinois,6721,6486
Effingham County, Illinois,34242,34132
Fayette County, Illinois,22140,21784
Ford County, Illinois,14081,13280
Franklin County, Illinois,39561,39041
Fulton County, Illinois,37069,35110
Gallatin County, Illinois,5589,5080
Greene County, Illinois,13886,13174
Grundy County, Illinois,50063,50586
Hamilton County, Illinois,8457,8194
Hancock County, Illinois,19104,18020
Hardin County, Illinois,4320,4046
Henderson County, Illinois,7331,6795
Henry County, Illinois,50486,49328
Iroquois County, Illinois,29718,27876
Jackson County, Illinois,60218,58284
Jasper County, Illinois,9698,9578
Jefferson County, Illinois,38827,38179
Jersey County, Illinois,22985,21941
Jo Daviess County, Illinois,22678,21594
Johnson County, Illinois,12582,12900
Kane County, Illinois,515269,534667
Kankakee County, Illinois,113449,109605
Kendall County, Illinois,114736,126218
Knox County, Illinois,52919,50638
Lake County, Illinois,703462,703520
LaSalle County, Illinois,113924,110067
Lawrence County, Illinois,16833,16168
Lee County, Illinois,36031,34406
Livingston County, Illinois,38950,36518
Logan County, Illinois,30305,29245
McDonough County, Illinois,32612,30823
McHenry County, Illinois,308760,309122
McLean County, Illinois,169572,172290
Macon County, Illinois,110768,105801
Macoupin County, Illinois,47765,45446
Madison County, Illinois,269282,265428
Marion County, Illinois,39437,37902
Marshall County, Illinois,12640,11730
Mason County, Illinois,14666,13715
Massac County, Illinois,15429,14344
Menard County, Illinois,12705,12245
Mercer County, Illinois,16434,15618
Monroe County, Illinois,32957,34097
Montgomery County, Illinois,30104,28790
Morgan County, Illinois,35547,33798
Moultrie County, Illinois,14846,14688
Ogle County, Illinois,53497,51063
Peoria County, Illinois,186494,183011
Perry County, Illinois,22350,21285
Piatt County, Illinois,16729,16445
Pike County, Illinois,16430,15821
Pope County, Illinois,4470,4325
Pulaski County, Illinois,6161,5509
Putnam County, Illinois,6006,5727
Randolph County, Illinois,33476,32423
Richland County, Illinois,16233,15901
Rock Island County, Illinois,147546,144808
St. Clair County, Illinois,270056,262479
Saline County, Illinois,24913,24102
Sangamon County, Illinois,197465,196452
Schuyler County, Illinois,7544,7035
Scott County, Illinois,5355,5002
Shelby County, Illinois,22363,21719
Stark County, Illinois,5994,5434
Stephenson County, Illinois,47711,45054
Tazewell County, Illinois,135394,133526
Union County, Illinois,17808,17000
Vermilion County, Illinois,81625,77909
Wabash County, Illinois,11947,11489
Warren County, Illinois,17707,17167
Washington County, Illinois,14716,14030
Wayne County, Illinois,16760,16495
White County, Illinois,14665,13938
Whiteside County, Illinois,58498,56118
Will County, Illinois,677560,692661
Williamson County, Illinois,66357,67328
Winnebago County, Illinois,295266,284778
Woodford County, Illinois,38664,38726
Adams County, Indiana,34387,35491
Allen County, Indiana,355329,372877
Bartholomew County, Indiana,76794,82040
Benton County, Indiana,8854,8613
Blackford County, Indiana,12766,11976
Boone County, Indiana,56640,65875
Brown County, Indiana,15242,15035
Carroll County, Indiana,20155,20039
Cass County, Indiana,38966,37994
Clark County, Indiana,110232,116973
Clay County, Indiana,26890,26198
Clinton County, Indiana,33224,32317
Crawford County, Indiana,10713,10566
Daviess County, Indiana,31648,33113
Dearborn County, Indiana,50047,49741
Decatur County, Indiana,25740,26737
DeKalb County, Indiana,42223,42836
Delaware County, Indiana,117671,115184
Dubois County, Indiana,41889,42558
Elkhart County, Indiana,197559,205032
Fayette County, Indiana,24277,23209
Floyd County, Indiana,74578,77071
Fountain County, Indiana,17240,16505
Franklin County, Indiana,23087,22619
Fulton County, Indiana,20836,20059
Gibson County, Indiana,33503,33576
Grant County, Indiana,70061,66491
Greene County, Indiana,33165,32177
Hamilton County, Indiana,274569,323747
Hancock County, Indiana,70002,74985
Harrison County, Indiana,39364,39898
Hendricks County, Indiana,145448,163685
Henry County, Indiana,49462,48476
Howard County, Indiana,82752,82363
Huntington County, Indiana,37124,36337
Jackson County, Indiana,42376,43884
Jasper County, Indiana,33478,33447
Jay County, Indiana,21253,20945
Jefferson County, Indiana,32428,32089
Jennings County, Indiana,28525,27626
Johnson County, Indiana,139654,153897
Knox County, Indiana,38440,37508
Kosciusko County, Indiana,77358,79206
LaGrange County, Indiana,37128,39303
Lake County, Indiana,496005,485640
LaPorte County, Indiana,111467,110029
Lawrence County, Indiana,46134,45666
Madison County, Indiana,131636,129498
Marion County, Indiana,903393,950082
Marshall County, Indiana,47051,46498
Martin County, Indiana,10334,10215
Miami County, Indiana,36903,35845
Monroe County, Indiana,137974,146986
Montgomery County, Indiana,38124,38525
Morgan County, Indiana,68894,69713
Newton County, Indiana,14244,14130
Noble County, Indiana,47536,47452
Ohio County, Indiana,6128,5828
Orange County, Indiana,19840,19426
Owen County, Indiana,21575,20839
Parke County, Indiana,17339,16886
Perry County, Indiana,19338,19081
Pike County, Indiana,12845,12365
Porter County, Indiana,164343,168404
Posey County, Indiana,25910,25595
Pulaski County, Indiana,13402,12534
Putnam County, Indiana,37963,37702
Randolph County, Indiana,26171,24922
Ripley County, Indiana,28818,28442
Rush County, Indiana,17392,16645
St. Joseph County, Indiana,266931,270434
Scott County, Indiana,24181,23870
Shelby County, Indiana,44436,44395
Spencer County, Indiana,20952,20394
Starke County, Indiana,23363,22893
Steuben County, Indiana,34185,34484
Sullivan County, Indiana,21475,20746
Switzerland County, Indiana,10613,10696
Tippecanoe County, Indiana,172780,190587
Tipton County, Indiana,15936,15128
Union County, Indiana,7516,7200
Vanderburgh County, Indiana,179703,181616
Vermillion County, Indiana,16212,15505
Vigo County, Indiana,107848,107516
Wabash County, Indiana,32888,31443
Warren County, Indiana,8508,8201
Warrick County, Indiana,59689,62530
Washington County, Indiana,28262,27827
Wayne County, Indiana,68917,66185
Wells County, Indiana,27636,27984
White County, Indiana,24643,24182
Whitley County, Indiana,33292,33756
Adair County, Iowa,7682,7054
Adams County, Iowa,4029,3686
Allamakee County, Iowa,14330,13884
Appanoose County, Iowa,12887,12352
Audubon County, Iowa,6119,5578
Benton County, Iowa,26076,25642
Black Hawk County, Iowa,131090,132648
Boone County, Iowa,26306,26484
Bremer County, Iowa,24276,24911
Buchanan County, Iowa,20958,21202
Buena Vista County, Iowa,20260,20110
Butler County, Iowa,14867,14606
Calhoun County, Iowa,9670,9746
Carroll County, Iowa,20816,20320
Cass County, Iowa,13956,13145
Cedar County, Iowa,18499,18543
Cerro Gordo County, Iowa,44151,43006
Cherokee County, Iowa,12072,11316
Chickasaw County, Iowa,12439,12005
Clarke County, Iowa,9286,9374
Clay County, Iowa,16667,16170
Clayton County, Iowa,18129,17637
Clinton County, Iowa,49116,47010
Crawford County, Iowa,17096,17056
Dallas County, Iowa,66135,87235
Davis County, Iowa,8753,8966
Decatur County, Iowa,8457,7950
Delaware County, Iowa,17764,17153
