County,State,2010 Census,Population Estimate 2017
Carbon County, Montana,10078,10696
Carter County, Montana,1160,1222
Cascade County, Montana,81327,81654
Chouteau County, Montana,5813,5765
Custer County, Montana,11699,11721
Daniels County, Montana,1751,1737
Dawson County, Montana,8966,8950
Deer Lodge County, Montana,9298,9106
Fallon County, Montana,2890,3009
Fergus County, Montana,11586,11291
Flathead County, Montana,90928,100000
Gallatin County, Montana,89513,107810
Garfield County, Montana,1206,1293
Glacier County, Montana,13399,13640
Golden Valley County, Montana,884,822
Granite County, Montana,3079,3358
Hill County, Montana,16096,16463
Jefferson County, Montana,11406,11891
Judith Basin County, Montana,2072,1961
Lake County, Montana,28746,30273
Lewis and Clark County, Montana,63395,67773
Liberty County, Montana,2339,2427
Lincoln County, Montana,19687,19440
McCone County, Montana,1734,1718
Madison County, Montana,7691,8175
Meagher County, Montana,1891,1851
Mineral County, Montana,4223,4255
Missoula County, Montana,109299,117441
Musselshell County, Montana,4538,4639
Park County, Montana,15636,16353
Petroleum County, Montana,494,523
Phillips County, Montana,4253,4119
Pondera County, Montana,6153,5960
Powder River County, Montana,1743,1752
Powell County, Montana,7027,6795
Prairie County, Montana,1179,1109
Ravalli County, Montana,40212,42563
Richland County, Montana,9746,11039
Roosevelt County, Montana,10425,11098
Rosebud County, Montana,9233,9248
Sanders County, Montana,11413,11711
Sheridan County, Montana,3384,3469
Silver Bow County, Montana,34200,34602
Stillwater County, Montana,9117,9419
Sweet Grass County, Montana,3651,3691
Teton County, Montana,6073,6085
Toole County, Montana,5324,4886
Treasure County, Montana,718,679
Valley County, Montana,7369,7433
Wheatland County, Montana,2168,2140
Wibaux County, Montana,1017,1020
Yellowstone County, Montana,147972,158980
Adams County, Nebraska,31364,31678
Antelope County, Nebraska,6685,6362
Arthur County, Nebraska,460,457
Banner County, Nebraska,690,742
Blaine County, Nebraska,478,482
Boone County, Nebraska,5505,5352
Box Butte County, Nebraska,11308,10886
Boyd County, Nebraska,2099,1977
Brown County, Nebraska,3145,3014
Buffalo County, Nebraska,46102,49732
Burt County, Nebraska,6858,6535
Butler County, Nebraska,8395,8053
Cass County, Nebraska,25241,25889
Cedar County, Nebraska,8852,8530
Chase County, Nebraska,3966,3971
Cherry County, Nebraska,5713,5818
Cheyenne County, Nebraska,9998,9676
Clay County, Nebraska,6542,6205
Colfax County, Nebraska,10515,10585
Cuming County, Nebraska,9139,9042
Custer County, Nebraska,10939,10897
Dakota County, Nebraska,21006,20186
Dawes County, Nebraska,9182,8890
Dawson County, Nebraska,24326,23709
Deuel County, Nebraska,1941,1883
Dixon County, Nebraska,6000,5754
Dodge County, Nebraska,36691,36707
Douglas County, Nebraska,517110,561620
Dundy County, Nebraska,2008,1801
Fillmore County, Nebraska,5890,5582
Franklin County, Nebraska,3225,2990
Frontier County, Nebraska,2756,2631
Furnas County, Nebraska,4959,4780
Gage County, Nebraska,22311,21601
Garden County, Nebraska,2057,1906
Garfield County, Nebraska,2049,2016
Gosper County, Nebraska,2044,2028
Grant County, Nebraska,614,649
Greeley County, Nebraska,2538,2374
Hall County, Nebraska,58607,61519
Hamilton County, Nebraska,9124,9207
Harlan County, Nebraska,3423,3443
Hayes County, Nebraska,967,893
Hitchcock County, Nebraska,2908,2834
Holt County, Nebraska,10435,10202
Hooker County, Nebraska,736,674
Howard County, Nebraska,6274,6437
Jefferson County, Nebraska,7547,7178
Johnson County, Nebraska,5217,5185
Kearney County, Nebraska,6489,6530
Keith County, Nebraska,8368,8072
Keya Paha County, Nebraska,824,793
Kimball County, Nebraska,3821,3619
Knox County, Nebraska,8701,8472
Lancaster County, Nebraska,285407,314358
Lincoln County, Nebraska,36288,35280
Logan County, Nebraska,763,768
Loup County, Nebraska,632,609
McPherson County, Nebraska,539,499
Madison County, Nebraska,34876,35144
Merrick County, Nebraska,7845,7882
Morrill County, Nebraska,5042,4836
Nance County, Nebraska,3735,3607
Nemaha County, Nebraska,7248,6949
Nuckolls County, Nebraska,4500,4275
Otoe County, Nebraska,15740,16027
Pawnee County, Nebraska,2773,2641
Perkins County, Nebraska,2970,2903
Phelps County, Nebraska,9188,9060
Pierce County, Nebraska,7266,7138
Platte County, Nebraska,32237,33175
Polk County, Nebraska,5406,5328
Red Willow County, Nebraska,11055,10728
Richardson County, Nebraska,8363,7969
Rock County, Nebraska,1526,1436
Saline County, Nebraska,14200,14441
Sarpy County, Nebraska,158840,181439
Saunders County, Nebraska,20780,21057
Scotts Bluff County, Nebraska,36970,36363
Seward County, Nebraska,16750,17161
Sheridan County, Nebraska,5469,5289
Sherman County, Nebraska,3152,3086
Sioux County, Nebraska,1311,1203
Stanton County, Nebraska,6129,5988
Thayer County, Nebraska,5228,5045
Thomas County, Nebraska,647,725
Thurston County, Nebraska,6940,7223
Valley County, Nebraska,4260,4209
Washington County, Nebraska,20234,20721
Wayne County, Nebraska,9595,9318
Webster County, Nebraska,3812,3524
Wheeler County, Nebraska,818,818
York County, Nebraska,13665,13806
Churchill County, Nevada,24877,24230
Clark County, Nevada,1951269,2204079
Douglas County, Nevada,46997,48309
Elko County, Nevada,48818,52649
Esmeralda County, Nevada,783,850
Eureka County, Nevada,1987,1961
Humboldt County, Nevada,16528,16826
Lander County, Nevada,5775,5693
Lincoln County, Nevada,5345,5223
Lyon County, Nevada,51980,54122
Mineral County, Nevada,4772,4457
Nye County, Nevada,43946,44202
Pershing County, Nevada,6753,6508
Storey County, Nevada,4010,4006
Washoe County, Nevada,421407,460587
White Pine County, Nevada,10030,9592
Carson City, Nevada,55274,54745
Belknap County, New Hampshire,60088,60785
Carroll County, New Hampshire,47818,48064
Cheshire County, New Hampshire,77117,75960
Coos County, New Hampshire,33055,31634
Grafton County, New Hampshire,89118,89386
Hillsborough County, New Hampshire,400721,409697
Merrimack County, New Hampshire,146445,149216
Rockingham County, New Hampshire,295223,306363
Strafford County, New Hampshire,123143,128613
Sullivan County, New Hampshire,43742,43077
Atlantic County, New Jersey,274549,269918
Bergen County, New Jersey,905116,948406
Burlington County, New Jersey,448734,448596
Camden County, New Jersey,513657,510719
Cape May County, New Jersey,97265,93553
Cumberland County, New Jersey,156898,152538
Essex County, New Jersey,783969,808285
Gloucester County, New Jersey,288288,292206
Hudson County, New Jersey,634266,691643
Hunterdon County, New Jersey,128349,125059
Mercer County, New jersey,366513,374733
Middlesex County, New Jersey,809858,842798
Monmouth County, New Jersey,630380,626351
Morris County, New Jersey,492276,499693
Ocean County, New Jersey,576567,597943
Passaic County, New Jersey,501226,512607
Salem County, New Jersey,66083,62792
Somerset County, New Jersey,323444,335432
Sussex County, New Jersey,149265,141682
Union County, New Jersey,536499,563892
Warren County, New Jersey,108692,106798
Bernalillo County, New Mexico,662564,676773
Catron County, New Mexico,3725,3587
Chaves County, New Mexico,65645,64866
Cibola County, New Mexico,27213,26853
Colfax County, New Mexico,13750,12174
Curry County, New Mexico,48376,49812
De Baca County, New Mexico,2022,1829
Doņa Ana County, New Mexico,209233,215579
Eddy County, New Mexico,53829,56997
Grant County, New Mexico,29514,27687
Guadalupe County, New Mexico,4687,4429
Harding County, New mexico,695,692
Hidalgo County, New Mexico,4894,4305
Lea County, New Mexico,64727,68759
Lincoln County, New Mexico,20497,19395
Los Alamos County, New Mexico,17950,18738
Luna County, New Mexico,25095,24078
McKinley County, New Mexico,71492,72564
Mora County, New Mexico,4881,4551
Otero County, New Mexico,63797,65817
Quay County, New Mexico,9041,8306
Rio Arriba County, New Mexico,40246,39159
Roosevelt County, New Mexico,19846,18847
Sandoval County, New Mexico,131561,142507
San Juan County, New Mexico,130044,126926
San Miguel County, New Mexico,29393,27748
Santa Fe County, New Mexico,144170,148750
Sierra County, New Mexico,11988,11116
Socorro County, New Mexico,17866,16798
Taos County, New Mexico,32937,32795
Torrance County, New Mexico,16383,15506
Union County, New Mexico,4549,4187
Valencia County, New Mexico,76569,75940
Albany County, New York,304204,309612
Allegany County, New York,48946,46894
Bronx County, New York,1385108,1471160
Broome County, New York,200600,193639
Cattaraugus County, New York,80317,77348
Cayuga County, New York,80026,77603
Chautauqua County, New York,134905,129046
Chemung County, New York,88830,85557
Chenango County, New York,50477,47863
Clinton County, New York,82128,80980
Columbia County, New York,63096,60604
Cortland County, New York,49336,47786
Delaware County, New York,47980,45001
Dutchess County, New York,297488,295568
Erie County, New York,919040,925528
Essex County, New York,39370,37956
Franklin County, New York,51599,51116
Fulton County, New York,55531,53877
Genesee County, New York,60079,57956
Greene County, New York,49221,47470
Hamilton County, New York,4836,4485
Herkimer County, New York,64519,62240
Jefferson County, New York,116229,114187
Kings County, New York,2504700,2648771
Lewis County, New York,27087,26551
Livingston County, New York,65393,63799
Madison County, NewYork,73442,70965
Monroe County, New York,744344,747642
Montgomery County, New York,50219,49258
Nassau County, New York,1339532,1369514
New York County, New York,1585873,1664727
Niagara County, New York,216469,211328
Oneida County, New York,234878,231332
Onondaga County, New York,467026,465398
Ontario County, New York,107931,109899
Orange County, New York,372813,382226
Orleans County, New York,42883,40983
Oswego County, New York,122109,118478
Otsego County, New York,62259,60094
Putnam County, New York,99710,99323
Queens County, New York,2230722,2358582
Rensselaer County, New York,159429,159722
Richmond County, New York,468730,479458
Rockland County, New York,311687,328868
St. Lawrence County, New York,111944,109623
Saratoga County, New York,219607,229869
Schenectady County, New York,154727,155565
Schoharie County, New York,32749,31420
Schuyler County, New York,18343,18000
Seneca County, New York,35251,34498
Steuben County, New York,98990,96281
Suffolk County, New York,1493350,1492953
Sullivan County, NewYork,77547,75485
Tioga County, New York,51125,48578
Tompkins County, New York,101564,104802
Ulster County, New York,182493,179417
Warren County, New York,65707,64532
Washington County, New York,63216,61620
Wayne County, New York,93772,90670
Westchester County, New York,949113,980244
Wyoming County, New York,42155,40493
Yates County, New York,25348,24955
Alamance County, North Carolina,151131,162391
Alexander County, North Carolina,37198,37286
Alleghany County, North Carolina,11155,11031
Anson County, North Carolina,26948,24991
Ashe County, North Carolina,27281,26957
Avery County, North Carolina,17797,17536
Beaufort County, North Carolina,47759,47088
Bertie County, North Carolina,21282,19224
Bladen County, North Carolina,35190,33478
Brunswick County, North Carolina,107431,130897
Buncombe County, North Carolina,238318,257607
Burke County, North Carolina,90912,89293
Cabarrus County, North Carolina,178011,206872
Caldwell County, North Carolina,83029,81981
Camden County, North Carolina,9980,10581
Carteret County, North Carolina,66469,68881
Caswell County, North Carolina,23719,22646
Catawba County, North Carolina,154358,157974
Chatham County, North Carolina,63505,71472
Cherokee County, North Carolina,27444,28087
Chowan County, North Carolina,14793,14105
Clay County, North Carolina,10587,11074
Cleveland County, North Carolina,98078,97334
Columbus County, North Carolina,58098,55936
Craven County, North Carolina,103505,102578
Cumberland County, North Carolina,319431,332546
Currituck County, North Carolina,23547,26331
Dare County, North Carolina,33920,36099
Davidson County, North Carolina,162878,165466
Davie County, North Carolina,41240,42456
Duplin County, North Carolina,58505,59039
Durham County, North Carolina,267587,311640
Edgecombe County, North Carolina,56552,52747
Forsyth County, North Carolina,350670,376320
Franklin County, North Carolina,60619,66168
Gaston County, North Carolina,206086,220182
Gates County, North Carolina,12197,11544
Graham County, North Carolina,8861,8541
Granville County, North Carolina,59916,59557
Greene County, North Carolina,21362,21015
Guilford County, North Carolina,488406,526953
Halifax County, North Carolina,54691,51310
Harnett County, North Carolina,114678,132754
Haywood County, North Carolina,59036,61084
Henderson County, North Carolina,106740,115708
Hertford County, North Carolina,24669,23906
Hoke County, North Carolina,46952,54116
Hyde County, North Carolina,5810,5363
Iredell County, North Carolina,159437,175711
Jackson County, North Carolina,40271,42973
Johnston County, North Carolina,168878,196708
Jones County, North Carolina,10153,9597
Lee County, North Carolina,57866,60430
Lenoir County, North Carolina,59495,56883
Lincoln County, North Carolina,78265,82403
McDowell County, North Carolina,44996,45159
Macon County, North Carolina,33922,34732
Madison County, North Carolina,20764,21746
Martin County, North Carolina,24505,22789
Mecklenburg County, North Carolina,919628,1076837
Mitchell County, North Carolina,15579,15072
Montgomery County, North Carolina,27798,27435
Moore County, North Carolina,88247,97264
Nash County, North Carolina,95840,93991
New Hanover County, North Carolina,202667,227198
Northampton County, North Carolina,22099,19862
Onslow County, North Carolina,177772,193893
Orange County, North Carolina,133801,144946
Pamlico County, North Carolina,13144,12689
Pasquotank County, North Carolina,40661,39743
Pender County, North carolina,52217,60958
Perquimans County, North Carolina,13453,13474
Person County, North Carolina,39464,39370
Pitt County, North Carolina,168148,179042
Polk County, North Carolina,20510,20558
Randolph County, North Carolina,141752,143282
Richmond County, North Carolina,46639,44798
Robeson County, North Carolina,134168,132606
Rockingham County, North Carolina,93643,90949
Rowan County, North Carolina,138428,140644
Rutherford County, North Carolina,67810,66551
Sampson County, North Carolina,63431,63430
Scotland County, North Carolina,36157,35093
Stanly County, North Carolina,60585,61482
Stokes County, North Carolina,47401,45717
Surry County, North Carolina,73673,72224
Swain County, North Carolina,13981,14294
Transylvania County, North Carolina,33090,33956
Tyrrell County, North Carolina,4407,4052
Union County, North Carolina,201292,231366
Vance County, North Carolina,45422,44211
Wake County, North Carolina,900993,1072203
Warren County, North Carolina,20972,19883
Washington County, North Carolina,13228,12012
Watauga County, North Carolina,51079,55121
Wayne County, North Carolina,122623,124172
Wilkes County, North Carolina,69340,68576
Wilson County, North Carolina,81234,81671
Yadkin County, North Carolina,38406,37774
Yancey County, North Carolina,17818,17744
Adams County, North Dakota,2343,2318
Barnes County, North Dakota,11066,10734
Benson County, North Dakota,6660,6936
Billings County, North Dakota,783,940
Bottineau County, North Dakota,6429,6530
Bowman County, North Dakota,3151,3166
Burke County, North Dakota,1968,2131
Burleigh County, North Dakota,81308,95030
Cass County, North Dakota,149778,177787
Cavalier County, North Dakota,3993,3762
Dickey County, North Dakota,5289,4861
Divide County, North Dakota,2071,2288
Dunn County, North Dakota,3536,4289
Eddy County, North Dakota,2385,2316
Emmons County, North Dakota,3550,3301
Foster County, North Dakota,3343,3257
Golden Valley County, North Dakota,1680,1789
Grand Forks County, North Dakota,66861,70795
Grant County, North Dakota,2394,2376
Griggs County,  North Dakota,2420,2258
Hettinger County, North Dakota,2477,2483
Kidder County, North Dakota,2435,2482
LaMoure County, North Dakota,4139,4087
Logan County, North Dakota,1990,1918
McHenry County, North Dakota,5395,5900
McIntosh County, North Dakota,2809,2606
McKenzie County, North Dakota,6360,12724
McLean County, North Dakota,8962,9685
Mercer County, North Dakota,8424,8465
Morton County, North Dakota,27471,30796
Mountrail County, North Dakota,7673,10265
Nelson County, North Dakota,3126,2937
Oliver County, North Dakota,1846,1940
Pembina County, North Dakota,7413,6972
Pierce County, North Dakota,4357,4099
Ramsey County, North Dakota,11451,11519
Ransom County, North Dakota,5457,5297
Renville County, North Dakota,2470,2463
Richland County, North Dakota,16321,16351
Rolette County, North Dakota,13937,14531
Sargent County, North Dakota,3829,3858
Sheridan County, North Dakota,1321,1353
Sioux County, North Dakota,4153,4376
Slope County, North Dakota,727,771
Stark County, North Dakota,24199,30209
Steele County, North Dakota,1975,1917
Stutsman County, North Dakota,21100,21087
Towner County, North Dakota,2246,2253
Traill County, North Dakota,8121,8013
Walsh County, North Dakota,11119,10855
Ward County, North Dakota,61675,68946
Wells County, North Dakota,4207,4022
Williams County, North Dakota,22398,33349
Adams County, Ohio,28550,27726
Allen County, Ohio,106331,103198
Ashland County, Ohio,53139,53628
Ashtabula County, Ohio,101497,97807
Athens County, Ohio,64757,66597
Auglaize County, Ohio,45949,45778
Belmont County,  Ohio,70400,68029
Brown County, Ohio,44846,43576
Butler County, Ohio,368130,380604
Carroll County, Ohio,28836,27385
Champaign County, Ohio,40097,38840
Clark County, Ohio,138333,134557
Clermont County, Ohio,197363,204214
Clinton County, Ohio,42040,42009
Columbiana County, Ohio,107841,103077
Coshocton County, Ohio,36901,36544
Crawford County, Ohio,43784,41746
Cuyahoga County, Ohio,1280122,1248514
Darke County, Ohio,52959,51536
Defiance County, Ohio,39037,38156
Delaware County, Ohio,174214,200464
Erie County, Ohio,77079,74817
Fairfield County, Ohio,146156,154733
Fayette County, Ohio,29030,28752
Franklin County, Ohio,1163414,1291981
Fulton County, Ohio,42698,42289
Gallia County, Ohio,30934,29973
Geauga County, Ohio,93389,93918
Greene County, Ohio,161573,166752
Guernsey County, Ohio,40087,39093
Hamilton County, Ohio,802374,813822
Hancock County, Ohio,74782,75754
Hardin County, Ohio,32058,31364
Harrison County, Ohio,15864,15216
Henry County, Ohio,28215,27185
Highland County, Ohio,43589,42971
Hocking County, Ohio,29380,28474
Holmes County, Ohio,42366,43957
Huron County, Ohio,59626,58494
Jackson County, Ohio,33225,32449
Jefferson County, Ohio,69709,66359
Knox County, Ohio,60921,61261
Lake County, Ohio,230041,230117
Lawrence County, Ohio,62450,60249
Licking County, Ohio,166492,173448
Logan County, Ohio,45858,45325
Lorain County, Ohio,301356,307924
Lucas County, Ohio,441815,430887
Madison County, Ohio,43435,44036
Mahoning County, Ohio,238823,229796
Marion County, Ohio,66501,64967
Medina County, Ohio,172332,178371
Meigs County, Ohio,23770,23080
Mercer County, Ohio,40814,40873
Miami County, Ohio,102506,105122
Monroe County, Ohio,14642,13946
Montgomery County, Ohio,535153,531542
Morgan County, Ohio,15054,14709
Morrow County, Ohio,34827,34994
Muskingum County, Ohio,86074,86149
Noble County, Ohio,14645,14406
Ottawa County, Ohio,41428,40657
Paulding County, Ohio,19614,18845
Perry County, Ohio,36058,36024
Pickaway County, Ohio,55698,57830
Pike County, Ohio,28709,28270
Portage County, Ohio,161419,162277
Preble County, Ohio,42270,41120
Putnam County, Ohio,34499,33878
Richland County, Ohio,124475,120589
Ross County, Ohio,78064,77313
Sandusky County, Ohio,60944,59195
Scioto County, Ohio,79499,75929
Seneca County, Ohio,56745,55243
Shelby County, Ohio,49423,48759
Stark County, Ohio,375586,372542
Summit County, Ohio,541781,541228
Trumbull County, Ohio,210312,200380
Tuscarawas County, Ohio,92582,92297
Union County, Ohio,52300,56741
Van Wert County, Ohio,28744,28217
Vinton County, Ohio,13435,13092
Warren County, Ohio,212693,228882
Washington County, Ohio,61778,60418
Wayne County, Ohio,114520,116038
Williams County, Ohio,37642,36784
Wood County, Ohio,125488,130492
Wyandot County, Ohio,22615,22029
Adair County, Oklahoma,22683,21909
Alfalfa County, Oklahoma,5642,5907
Atoka County, Oklahoma,14182,13887
Beaver County, Oklahoma,5636,5315
Beckham County, Oklahoma,22119,21793
Blaine County, Oklahoma,11943,9498
Bryan County, Oklahoma,42416,46319
Caddo County, Oklahoma,29600,29173
Canadian County, Oklahoma,115541,139926
Carter County, Oklahoma,47557,48190
Cherokee County, Oklahoma,46987,48888
Choctaw County, Oklahoma,15205,14863
Cimarron County, Oklahoma,2475,2154
Cleveland County, Oklahoma,255755,279641
Coal County, Oklahoma,5925,5642
Comanche County, Oklahoma,124098,121526
Cotton County, Oklahoma,6193,5823
Craig County, Oklahoma,15029,14327
Creek County, Oklahoma,69967,71704
Custer County, Oklahoma,27469,28800
Delaware County, Oklahoma,41487,42602
Dewey County, Oklahoma,4810,4878
Ellis County, Oklahoma,4151,3966
Garfield County, Oklahoma,60580,61581
Garvin County, Oklahoma,27576,27909
Grady County, Oklahoma,52431,54943
Grant County, Oklahoma,4527,4395
Greer County, Oklahoma,6239,5843
Harmon County, Oklahoma,2922,2689
Harper County, Oklahoma,3685,3808
Haskell County, Oklahoma,12769,12763
Hughes County, Oklahoma,14003,13302
Jackson County, Oklahoma,26446,25125
Jefferson County, Oklahoma,6472,6183
Johnston County, Oklahoma,10957,11060
Kay County, Oklahoma,46562,44544
Kingfisher County, Oklahoma,15034,15669
Kiowa County, Oklahoma,9446,8893
Latimer County, Oklahoma,11154,10411
Le Flore County, Oklahoma,50384,49731
Lincoln County, Oklahoma,34273,35142
Logan County, Oklahoma,41848,46784
Love County, Oklahoma,9423,10034
McClain County, Oklahoma,34506,39343
McCurtain County, Oklahoma,33151,32808
McIntosh County, Oklahoma,20252,19742
Major County, Oklahoma,7527,7693
Marshall County, Oklahoma,15840,16434
Mayes County, Oklahoma,41259,40921
Murray County, Oklahoma,13488,13853
Muskogee County, Oklahoma,70990,69086
Noble County, Oklahoma,11561,11277
Nowata County, Oklahoma,10536,10306
Okfuskee County, Oklahoma,12191,12140
Oklahoma County, Oklahoma,718633,787958
Okmulgee County, Oklahoma,40069,38930
Osage County, Oklahoma,47472,47233
Ottawa County, Oklahoma,31848,31312
Pawnee County, Oklahoma,16577,16472
Payne County, Oklahoma,77350,81575
Pittsburg County, Oklahoma,45837,44184
Pontotoc County, Oklahoma,37492,38224
Pottawatomie County, Oklahoma,69442,72226
Pushmataha County, Oklahoma,11572,11173
Roger Mills County, Oklahoma,3647,3716
Rogers County, Oklahoma,86905,91444
Seminole County, Oklahoma,25482,24878
Sequoyah County, Oklahoma,42391,41252
Stephens County, Oklahoma,45048,43332
Texas County, Oklahoma,20640,20900
Tillman County, Oklahoma,7992,7433
Tulsa County, Oklahoma,603403,646266
Wagoner County, Oklahoma,73085,78657
Washington County, Oklahoma,50976,51932
Washita County, Oklahoma,11629,11134
Woods County, Oklahoma,8878,9031
Woodward County, Oklahoma,20081,20459
Baker County, Oregon,16134,16054
Benton County, Oregon,85579,90951
Clackamas County, Oregon,375992,412672
Clatsop County, Oregon,37039,39182
Columbia County, Oregon,49351,51782
Coos County, Oregon,63043,63888
Crook County, Oregon,20978,23123
Curry County, Oregon,22364,22669
Deschutes County, Oregon,157733,186875
Douglas County, Oregon,107667,109405
Gilliam County, Oregon,1871,1855
Grant County, Oregon,7445,7190
Harney County, Oregon,7422,7289
Hood River County, Oregon,22346,23377
Jackson County, Oregon,203206,217479
Jefferson County, Oregon,21720,23758
Josephine County, Oregon,82713,86352
Klamath County, Oregon,66380,66935
Lake County, Oregon,7895,7863
Lane County, Oregon,351715,374748
Lincoln County, Oregon,46034,48920
Linn County, Oregon,116672,125047
Malheur County, Oregon,31313,30480
Marion County, Oregon ,315335,341286
Morrow County, oregon,11173,11166
Multnomah County, Oregon,735334,807555
Polk County, Oregon,75403,83696
Sherman County, Oregon,1765,1758
Tillamook County, Oregon,25250,26690
Umatilla County, Oregon,75889,76985
Union County, Oregon,25748,26222
Wallowa County, Oregon,7008,7051
Wasco County, Oregon,25213,26437
Washington County, Oregon,529710,588957
Wheeler County, Oregon,1441,1357
Yamhill County, Oregon,99193,105722
Adams County, Pennsylvania,101407,102336
Allegheny County, Pennsylvania,1223348,1223048
Armstrong County, Pennsylvania,68941,65642
Beaver County, Pennsylvania,170539,166140
Bedford County, Pennsylvania,49762,48480
Berks County, Pennsylvania,411442,417854
Blair County, Pennsylvania,127089,123457
Bradford County, Pennsylvania,62622,60853
Bucks County, Pennsylvania,625249,628341
Butler County, Pennsylvania,183862,187108
Cambria County, Pennsylvania,143679,133054
Cameron County, Pennsylvania,5085,4592
Carbon County, Pennsylvania,65249,63853
Centre County, Pennsylvania,153990,162660
Chester County, Pennsylvania,498886,519293
Clarion County, Pennsylvania,39988,38458
Clearfield County, Pennsylvania,81642,79685
Clinton County, Pennsylvania,39238,38998
Columbia County, Pennsylvania,67295,65932
Crawford County, Pennsylvania,88765,86159
Cumberland County, Pennsylvania,235406,250066
Dauphin County, Pennsylvania,268100,275710
Delaware County, Pennsylvania,558979,564696
Elk County, Pennsylvania,31946,30197
Erie County, Pennsylvania,280566,274541
Fayette County, Pennsylvania,136606,131504
Forest County, Pennsylvania,7716,7297
Franklin County, Pennsylvania,149618,154234
Fulton County, Pennsylvania,14845,14590
Greene County, Pennsylvania,38686,36770
Huntingdon County, Pennsylvania,45913,45491
Indiana County, Pennsylvania,88880,84953
Jefferson County, Pennsylvania,45200,43804
Juniata County, Pennsylvania,24636,24514
Lackawanna County, Pennsylvania,214437,210761
Lancaster County, Pennsylvania,519445,542903
Lawrence County, Pennsylvania,91108,87069
Lebanon County, Pennsylvania,133568,139754
Lehigh County, Pennsylvania,349497,366494
Luzerne County, Pennsylvania,320918,317343
Lycoming County, Pennsylvania,116111,113841
McKean County, Pennsylvania,43450,41330
Mercer County, Pennsylvania,116638,111750
Mifflin County, Pennsylvania,46682,46388
Monroe County, Pennsylvania,169842,168046
Montgomery County, Pennsylvania,799874,826075
Montour County, Pennsylvania,18267,18272
Northampton County, Pennsylvania,297735,303405
Northumberland County, Pennsylvania,94528,92029
Perry County, Pennsylvania,45969,46127
Philadelphia County, Pennsylvania,1526006,1580863
Pike County, Pennsylvania,57369,55691
Potter County, Pennsylvania,17457,16802
Schuylkill County, Pennsylvania,148289,142569
Snyder County, Pennsylvania,39702,40801
Somerset County, Pennsylvania,77742,74501
Sullivan County, Pennsylvania,6428,6089
Susquehanna County, Pennsylvania,43356,40985
Tioga County, Pennsylvania,41981,40793
Union County, Pennsylvania,44947,44595
Venango County, Pennsylvania,54984,51762
Warren County, Pennsylvania,41815,39659
Washington County, Pennsylvania,207820,207298
Wayne County, Pennsylvania,52822,51205
Westmoreland County, Pennsylvania,365169,352627
Wyoming County, Pennsylvania,28276,27322
York County, Pennsylvania,434972,446078
Bristol County, Rhode Island,49875,48912
Kent County, Rhode Island,166158,163760
Newport County, Rhode Island,82888,83460
Providence County, Rhode Island,626667,637357
Washington County, Rhode Island,126979,126150
Abbeville County, South Carolina,25417,24722
Aiken County, South Carolina,160099,168179
Allendale County, South Carolina,10419,9002
Anderson County, South Carolina,187126,198759
Bamberg County, South Carolina,15987,14381
Barnwell County, South Carolina,22621,21345
Beaufort County, South Carolina,162233,186844
Berkeley County, South Carolina,177843,217937
Calhoun County, South Carolina,15175,14704
Charleston County, South Carolina,350209,401438
Cherokee County, South Carolina,55342,57105
Chester County, South Carolina,33140,32301
Chesterfield County, South Carolina,46734,45948
Clarendon County, South Carolina,34971,34057
Colleton County, South Carolina,38892,37611
Darlington County, South Carolina,68681,67265
Dillon County, South Carolina,32062,30666
Dorchester County, South Carolina,136555,156456
Edgefield County, South Carolina,26985,26693
Fairfield County, South Carolina,23956,22607
Florence County, South Carolina,136885,138566
Georgetown County, South Carolina,60158,61607
Greenville County, South Carolina,451225,506837
Greenwood County, South Carolina,69661,70355
Hampton County, South Carolina,21090,19602
Horry County, South Carolina,269291,333268
Jasper County, South Carolina,24777,28458
Kershaw County, South Carolina,61697,65036
Lancaster County, South Carolina,76652,92550
Laurens County, South Carolina,66537,66848
Lee County, South Carolina,19220,17350
Lexington County, South Carolina,262391,290642
McCormick County, South Carolina,10233,9545
Marion County, South Carolina,33062,31293
Marlboro County, South Carolina,28933,26825
Newberry County, South Carolina,37508,38488
Oconee County, South Carolina,74273,77270
Orangeburg County, South Carolina,92501,87476
Pickens County, South Carolina,119224,123479
Richland County, South Carolina,384504,411592
Saluda County, South Carolina,19875,20452
Spartanburg County, South Carolina,284307,306854
Sumter County, South Carolina,107456,106847
Union County, South Carolina,28961,27537
Williamsburg County, South Carolina,34423,31133
York County, South Carolina,226073,266439
Aurora County, South Dakota,2710,2738
Beadle County, South Dakota,17398,18157
Bennett County, South Dakota,3431,3454
Bon Homme County, South Dakota,7070,6984
Brookings County, South Dakota,31965,34255
Brown County, South Dakota,36531,39178
Brule County, South Dakota,5255,5312
Buffalo County, South Dakota,1912,1999
Butte County, South Dakota,10110,10107
Campbell County, South Dakota,1466,1379
Charles Mix County, South Dakota,9129,9428
Clark County, South Dakota,3691,3668
Clay County, South Dakota,13864,13990
Codington County, South Dakota,27227,28099
Corson County, South Dakota,4050,4203
Custer County, South Dakota,8216,8691
Davison County, South Dakota,19504,19704
Day County, South Dakota,5710,5521
Deuel County, South Dakota,4364,4281
Dewey County, South Dakota,5301,5835
Douglas County, South Dakota,3002,2931
Edmunds County, South Dakota,4071,3919
Fall River County, South Dakota,7094,6687
Faulk County, South Dakota,2364,2329
Grant County, South Dakota,7356,7061
Gregory County, South Dakota,4271,4226
