Country,Continent,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Greece,EU,95,97.3,98.1,102.2,102,101.9,103.2,106.5,103.1,97.9,91.2,85.7,79.3,71.8,72.2,69.7,66.5
Greenland,NA,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,1,0.8,0.7,0.6,0.6,0.6,0.6
Grenada,NA,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Guadeloupe,NA,1.8,1.8,1.9,1.9,2,2.1,2.2,2.5,2.4,2.1,2.1,2.7,1.9,1.9,1.8,2,2
Guam,OC,2.9,3.1,2.1,2.4,2,2.1,2.3,2,1.8,1.1,2.7,2.4,2.4,2.1,2.1,2.2,2.2
Guatemala,NA,9.1,10,10.2,10.3,10.8,11,11,12.1,11,11.7,10.8,11,11.2,11.4,12.3,15.7,16.5
Guinea,AF,1.3,1.3,1.3,1.3,1.4,1.4,1.4,1.4,1.3,1.4,1.4,2.8,2.6,2.3,2.4,2.7,2.8
Guinea-Bissau,AF,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.3,0.3,0.4,0.4,0.4,0.4
Guyana,SA,1.7,1.7,1.8,1.7,1.5,1.7,1.6,1.6,1.5,1.6,1.6,1.8,2.1,2,2,2.1,2.1
Haiti,NA,1.5,1.7,1.7,1.7,1.7,1.8,1.8,2,2,2.2,2.1,2.2,2.4,2.6,2.9,3,3.6
Honduras,NA,4.6,5.3,5.9,6,7,7.2,7.2,8.2,7.8,7,7.4,8,8.2,8.1,8.8,9.6,9.4
Hong Kong,AS,57.8,60.6,66,70.4,78.6,81,80.3,84.7,79.8,89.9,99.7,94.8,89.3,91.8,89,95.7,98.2
Hungary,EU,53.9,56.5,56.3,57.8,56.2,56.9,55.7,53.6,52.1,49.1,48.4,49.7,45.4,43.3,44.7,47.4,48.3
Iceland,EU,3.2,3.1,3.2,3.2,3.4,3.3,3.4,3.9,3.7,3.3,3.8,2.5,2.5,2.6,2.6,2.9,3.2
India,AS,944.7,961.4,1021.9,1035.9,1130.4,1191.3,1287.9,1377,1422.6,1529.6,1630.3,1679.9,1893.5,1951.1,2089.1,2151,2153.8
Indonesia,AS,272.5,270.4,284.3,294.2,301.5,324.6,333.6,345.7,369.7,392.4,438.7,441.7,457,478.1,488.4,504.3,509.7
Iran,AS,322.1,346.5,370.5,387.8,408.6,452.4,478.2,489.7,511.7,564.2,567.8,592.5,616.4,614.9,644.1,642.1,638
Iraq,AS,73.9,78.1,79.4,72,78,95.2,91.5,100,104.6,113,115.3,117,135.2,159.5,154.5,153.7,117.9
Ireland,EU,40.4,42.9,41.9,40.7,42.1,42.8,45,44.4,44.3,38,38.3,33.6,33.3,32.5,32.4,34,36.1
Israel,AS,59.8,66.8,63.4,64.5,64.8,67.8,67.3,68.2,65.2,66.1,70.6,70.1,76.6,67.8,68.9,71.2,70.4
Italy,EU,446.3,446.6,453.2,474.8,470.5,473.5,470,461.7,452.4,410.9,422.1,411.6,387.7,356.7,339.7,348.7,346
Jamaica,NA,11.2,11.1,11.2,11.2,11.2,11.1,13.1,13.1,12.1,9.3,8.1,8.5,7.9,8.8,8.6,8.8,8.9
Japan,AS,1200.1,1193.8,1195.8,1256.8,1234.7,1251.7,1236.8,1250.8,1199.3,1107.4,1159.5,1193.7,1254.2,1266,1233.6,1195,1197.7
Jordan,AS,15.6,15.6,15.6,17.3,17.8,19.1,20.4,19.1,18.6,18.8,19.3,22.2,23.7,23.4,25.1,24.6,27.4
Kazakhstan,AS,174.9,178.3,187.8,190.3,217.3,221.9,233.8,263.4,297.8,255,270.3,295.5,293.6,293.6,277.7,271.8,274.3
Kenya,AF,8.7,8,8,8.4,9.3,10.2,11.4,11.4,11.3,11.3,12.3,13.6,12.5,13.7,14.2,16.3,17.8
Kiribati,OC,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Korea, North",AS,74.7,71.2,69.8,68.7,71.4,69.2,65.7,58.7,63.4,52.5,49.4,34.7,35.9,25.1,28.7,22,24.3
"Korea, South",AS,463.4,466.1,487.3,501.8,508.5,517.8,511.7,528.8,545.6,550.7,615.6,680.5,686.7,707.2,704.1,718,726.2
Kuwait,AS,59.7,57.5,56,63.9,67.8,75.1,77,75.1,78.3,84.7,85.9,99.5,99.2,96.9,96.9,105.3,106.4
Kyrgyzstan,AS,7.2,6.6,5.8,5.3,5.8,5.5,5.5,6,6.8,9.1,7.4,7.9,10.3,9.4,9.7,9.9,9.5
Laos,AS,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,2.5,2.8,3.8,4,9.3,9.3
Latvia,EU,7.5,7.7,7.5,7.8,8.2,8.6,9.3,8.6,8.1,8,9.1,8.5,8.3,8.2,7.9,8.2,8.6
Lebanon,AS,16.3,15.3,16.3,16.2,15.2,15.2,13.2,12.2,14.2,19.4,18.7,19.4,21.5,21.2,22.8,23,23.3
Lesotho,AF,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.6,0.6,0.6,0.6,0.6,0.7,0.7
Liberia,AF,0.4,0.5,0.5,0.5,0.5,0.5,0.6,0.7,0.7,0.6,0.5,0.9,1,0.9,1.2,1.2,1.2
Libya,AF,42.1,43,48.4,46.7,52.3,57.1,52.6,53.7,57,58.7,67.8,40.6,55,57.6,59.5,53.4,46.5
Lithuania,EU,13.3,13.1,13.3,13.6,13.5,15.6,16.5,17.4,18.6,13.5,14.1,15.4,15.3,14.9,13.7,13.8,13.4
Luxembourg,EU,9,9.5,10.4,11,12.2,12.5,12.4,12.1,11.9,11.5,12,12.3,11.9,11.5,11.1,10.8,10.7
Macau,AS,1.6,1.7,1.8,1.9,2.3,2,2.3,2.3,2.4,1.8,1.6,1.9,1.7,1.7,1.9,2.6,2.6
Macedonia,EU,8.2,8.2,7.7,7.7,7.8,7.6,7.5,7.8,8.3,7.8,7.4,8.3,7.9,7.3,7.3,7,6.9
Madagascar,AF,1.8,2,2.3,2.4,2.6,2.5,2.5,2.5,2.8,1.8,1.9,2.4,2.9,3.2,3.4,3.7,3.8
Malawi,AF,0.9,0.9,1,1,1,1.1,1.1,1.1,1.2,0.9,0.9,1,1,1.1,1.1,0.9,1.1
Malaysia,AS,111.8,115.5,126,135.1,136.1,152.6,162.3,166.5,173,175.9,196.2,198.9,202.3,217.5,225.2,218.6,216.7
Maldives,AS,0.5,0.5,1,1.1,0.8,0.6,0.8,0.9,0.9,1.1,1.1,1.2,1.5,1.6,2.2,1.6,1.6
Mali,AF,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,2.4,2.5,2.7,2.9,3.2,3.4
Malta,EU,2.9,2.5,2.9,2.9,3,3.1,2.9,3.1,3.2,6.7,8,7.3,7,6.6,6.8,7.1,8.1
Martinique,NA,2.1,2.1,2.1,2.2,2.2,2.4,2.4,2.5,2.5,2.7,2.7,2.6,2.6,2.6,2.7,2.7,2.7
Mauritania,AF,3.2,3.2,3.1,3.2,2.6,3.2,2.8,2.7,2.8,1.9,1.9,2.3,2.4,2.2,2.7,2.7,2.6
Mauritius,AF,3.6,3.9,3.7,3.8,3.9,4.1,4.5,4.8,5,4.4,4.9,5.3,5.3,5.5,5.6,5.7,6.2
Mexico,NA,387,386,388.5,405.2,404.1,423.7,450.2,468.8,477.3,464.3,453.9,447.3,448.3,449.7,437.7,454.2,450.4
Moldova,EU,6.2,6,6.6,7.3,6.6,7.2,7.6,6.7,7.1,6.3,6.5,6.6,8.7,8.5,8.2,7.6,7.6
Mongolia,AS,10.2,10.3,11,10.5,10.9,11.2,12.2,12.8,12.7,13.4,14.4,15.1,16.7,17.3,16.9,17,17.6
Montserrat,NA,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0.1,0.1,0.1,0.1
Morocco,AF,29,31.2,31.4,31.8,30.3,32.7,33.9,34.2,34.9,39.2,45.5,49.1,48.6,50.8,53.2,52.8,53.2
Mozambique,AF,1.3,1.5,1.7,1.9,2.1,2.3,2.3,2.5,2.4,2.5,2.6,3.8,5.2,6.3,7.1,7.7,11.1
Namibia,AF,1.8,2.2,2.2,2.4,2.6,2.6,2.8,2.9,3.1,3.2,3.1,3.2,3.1,3.5,3.6,3.9,4
Nauru,OC,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.1,0.1,0.1,0.1,0.1
Nepal,AS,2.4,2.4,2.5,2.6,2.6,2.7,2.6,2.5,2.7,2.9,3.2,3.5,3.8,4.1,4.5,3.9,8.3
Netherlands,EU,231.3,240.6,240.4,244,249.6,256.8,252.8,237.4,233,226.7,238.2,256.3,247.8,245.5,237.7,240,243.6
Netherlands Antilles,NA,12,12,11,11,11,11,12,11,11,12,12,14,12.8,12.9,12.9,13.2,13.3
New Caledonia,OC,2,2,2.3,2.3,2.6,2.5,3,2.9,2.9,3,3.7,3.9,3.9,4.1,4.8,5,5.8
New Zealand,OC,34.4,36.7,37,37.3,37.4,37.9,37.8,36.8,38,36.3,36.3,34.9,36.2,36.7,37.8,37.6,37
Nicaragua,NA,3.7,3.9,3.9,4,4.2,4.4,4.5,4.5,4.3,4.3,4.3,4.7,4.4,4.4,4.6,5.2,5.4
Niger,AF,1.1,1.1,1.1,1.1,1.2,1.1,1.1,1.1,1.2,1.1,1.2,1.7,2.2,2.5,2.4,2.4,2.4
Nigeria,AF,80.5,91.2,91,92.4,92,107.2,103,100.5,100.9,69.5,79.9,95.1,94.2,95.9,100.5,100.6,103.9
Niue,OC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,EU,40.6,41.1,42.1,45,47.8,41.8,40.7,42.1,40.1,44.2,43.2,40.7,39.7,40.6,41.2,41.8,40.9
Oman,AS,21.8,22.2,23,22.5,24.4,32,35.7,37.3,43.4,45.7,58.8,55,64.7,64.7,71,70.9,68.9
Pakistan,AS,109.9,104.5,104.4,105.6,110.9,118.2,130.3,140.1,139.2,141.9,145.5,143.2,150.6,150,159.1,165.1,176.6
Palestinian Territories,AS,0.6,1.2,1,1.2,2.1,2.7,2.9,2.9,3,2,2.3,2.4,2.2,2.4,2.6,2.9,3.1
Panama,NA,13.1,13.1,13,13,14,14,14,14,15.1,16.1,19.1,21.7,22.3,21.9,22.4,22.6,26
Papua New Guinea,OC,2.6,2.6,3.7,4.3,4.3,4.2,4.3,4.4,4.6,3.2,3.3,4.7,5.3,5.8,6.1,6.1,6.1
Paraguay,SA,3.6,3.5,3.6,3.7,3.8,3.7,3.7,3.7,3.8,4.1,4.5,5,5.2,5.1,5.3,5.8,7.7
Peru,SA,26.7,25.6,25.2,25.3,28.9,29.8,32.7,32.4,35.8,37.1,43,45.6,47.5,48.4,49.7,52.4,55.5
Philippines,AS,70.3,69.4,70.7,70.6,74.6,75.1,74.3,73,74.4,73.5,77.7,80.4,84.9,95.2,98.6,109.3,110.2
Poland,EU,287,286.2,276.6,287.7,291.8,290.8,293.2,292.4,291.8,282.3,297.7,302.1,296.8,296,289.8,295,302
Portugal,EU,62.7,61.1,65.5,61.6,63.3,66.3,60.1,59.8,56.3,57.5,53.7,54.1,51.5,50.2,49.2,53.9,53.2
Puerto Rico,NA,27.9,34.5,34.9,36.7,37.4,36.5,36.8,32.9,33,27.9,26.9,25.1,26,21.9,21.2,21.6,19.5
Qatar,AS,34.7,25.2,29.4,32.5,38.6,52.3,56.1,59.2,63,68.6,75.8,80.5,109.1,116.1,118.3,118,114.2
Reunion,AF,2.5,2.6,2.6,2.6,2.6,2.7,2.7,2.8,2.8,2.9,2.9,2.7,2.4,2.4,2.5,2.7,2.7
Romania,EU,90.2,98.9,96.4,97.7,96.7,93.3,97.9,96,92.9,80.4,78.8,86.1,83.6,72.9,71.7,72.8,71.3
Russia,EU,1545.9,1522.1,1543.3,1597.9,1642.7,1631.6,1680.6,1623,1694.8,1557.9,1759.7,1794.8,1820.7,1778.8,1795.4,1802.9,1767.2
Rwanda,AF,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.7,0.7,0.8,0.8,0.7,0.8,0.9,0.9,1,1
Saint Helena,AF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Kitts and Nevis,NA,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.3,0.2
Saint Lucia,NA,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Saint Pierre and Miquelon,NA,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Saint Vincent/Grenadines,NA,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2
Samoa,OC,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3
Sao Tome and Principe,NA,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1
