addr_pct_cd,boro_nm,cmplnt_fr_dt,cmplnt_fr_tm,cmplnt_num,cmplnt_to_dt,cmplnt_to_tm,crm_atpt_cptd_cd,juris_desc,latitude,law_cat_cd,loc_of_occur_desc,longitude,ofns_desc,patrol_boro,pd_cd,pd_desc,prem_typ_desc,rpt_dt,vic_age_group,vic_race,vic_sex,x_coord_cd,y_coord_cd,susp_age_group,susp_race,susp_sex
44,BRONX,2018-02-28,09:15:00,261666875,2018-02-28T00:00:00.000,09:20:00,COMPLETED,N.Y. POLICE DEPT,40.832708584,VIOLATION,INSIDE,-73.910899767,HARRASSMENT 2,PATROL BORO BRONX,638.0,"HARASSMENT,SUBD 3,4,5",OTHER,2018-02-28T00:00:00.000,45-64,WHITE HISPANIC,F,1008907.0,242665.0,UNKNOWN,WHITE HISPANIC,F
77,BROOKLYN,2018-02-28,17:30:00,908740141,2018-03-01T00:00:00.000,07:40:00,COMPLETED,N.Y. POLICE DEPT,40.66979809,FELONY,FRONT OF,-73.949115807,GRAND LARCENY,PATROL BORO BKLYN NORTH,421.0,"LARCENY,GRAND FROM VEHICLE/MOTORCYCLE",STREET,2018-03-01T00:00:00.000,45-64,BLACK,M,998366.0,183303.0,,,
34,MANHATTAN,2018-02-28,05:15:00,489142692,2018-02-28T00:00:00.000,05:20:00,COMPLETED,N.Y. POLICE DEPT,40.866210001999995,FELONY,FRONT OF,-73.917659192,GRAND LARCENY OF MOTOR VEHICLE,PATROL BORO MAN NORTH,441.0,"LARCENY,GRAND OF AUTO",PARKING LOT/GARAGE (PUBLIC),2018-02-28T00:00:00.000,45-64,WHITE HISPANIC,M,1007025.0,254869.0,UNKNOWN,UNKNOWN,U
43,BRONX,2018-02-28,12:30:00,760242669,,,COMPLETED,N.Y. POLICE DEPT,40.820834584,MISDEMEANOR,FRONT OF,-73.880205132,OFFENSES AGAINST PUBLIC ADMINI,PATROL BORO BRONX,749.0,VIOLATION OF ORDER OF PROTECTI,RESIDENCE - APT. HOUSE,2018-03-06T00:00:00.000,25-44,BLACK,F,1017407.0,238349.0,25-44,BLACK,M
20,MANHATTAN,2018-02-28,15:00:00,478010471,2018-05-01T00:00:00.000,17:30:00,COMPLETED,N.Y. POLICE DEPT,40.780045767,FELONY,INSIDE,-73.982915201,GRAND LARCENY,PATROL BORO MAN NORTH,412.0,"LARCENY,GRAND FROM RESIDENCE, UNATTENDED",RESIDENCE - APT. HOUSE,2018-05-02T00:00:00.000,25-44,WHITE,M,988982.0,223466.0,,,
103,QUEENS,2018-02-28,17:30:00,770511802,2018-02-28T00:00:00.000,17:45:00,COMPLETED,N.Y. POLICE DEPT,40.700522849,MISDEMEANOR,FRONT OF,-73.782050755,DANGEROUS WEAPONS,PATROL BORO QUEENS SOUTH,782.0,"WEAPONS, POSSESSION, ETC",PUBLIC SCHOOL,2018-02-28T00:00:00.000,UNKNOWN,UNKNOWN,E,1044683.0,194568.0,,,
72,BROOKLYN,2018-02-28,12:00:00,975619166,,,COMPLETED,N.Y. POLICE DEPT,40.641195831,MISDEMEANOR,,-74.020936467,VEHICLE AND TRAFFIC LAWS,PATROL BORO BKLYN SOUTH,916.0,LEAVING SCENE-ACCIDENT-PERSONA,HIGHWAY/PARKWAY,2018-02-28T00:00:00.000,45-64,UNKNOWN,M,978440.0,172879.0,UNKNOWN,UNKNOWN,U
120,STATEN ISLAND,2018-02-28,14:40:00,509702048,2018-02-28T00:00:00.000,14:45:00,COMPLETED,N.Y. POLICE DEPT,40.622934398000005,MISDEMEANOR,INSIDE,-74.07873307199999,OFFENSES AGAINST PUBLIC ADMINI,PATROL BORO STATEN ISLAND,749.0,VIOLATION OF ORDER OF PROTECTI,PUBLIC SCHOOL,2018-02-28T00:00:00.000,25-44,BLACK,M,962394.0,166235.0,25-44,BLACK,M
32,MANHATTAN,2018-02-28,03:22:00,607053871,2018-02-28T00:00:00.000,03:23:00,COMPLETED,N.Y. POLICE DEPT,40.822262072,FELONY,FRONT OF,-73.940537398,ROBBERY,PATROL BORO MAN NORTH,397.0,"ROBBERY,OPEN AREA UNCLASSIFIED",GAS STATION,2018-02-28T00:00:00.000,25-44,BLACK HISPANIC,M,1000708.0,238852.0,25-44,BLACK,M
48,BRONX,2018-02-28,18:40:00,477906051,2018-02-28T00:00:00.000,18:50:00,COMPLETED,N.Y. POLICE DEPT,40.855017438000004,VIOLATION,FRONT OF,-73.883075218,HARRASSMENT 2,PATROL BORO BRONX,638.0,"HARASSMENT,SUBD 3,4,5",STREET,2018-02-28T00:00:00.000,18-24,BLACK HISPANIC,F,1016596.0,250802.0,45-64,BLACK HISPANIC,M
